DateTime,28.4595 77.0266
2019-08-21,35.1303
2019-08-22,34.0052
2019-08-23,35.8780
2019-08-24,34.9929
2019-08-25,32.3320
2019-08-26,34.6912
2019-08-27,36.3079
2019-08-28,36.7532
2019-08-29,34.6661
2019-08-30,35.9390
2019-08-31,35.8122
2019-09-01,33.1107
2019-09-02,35.6635
2019-09-03,35.6727
2019-09-04,35.1913
2019-09-05,34.5263
2019-09-06,36.0852
2019-09-07,35.4586
2019-09-08,35.5660
2019-09-09,36.6581
2019-09-10,36.8100
2019-09-11,37.2890
2019-09-12,35.5905
2019-09-13,35.3187
2019-09-14,34.3184
2019-09-15,34.2492
2019-09-16,35.5509
2019-09-17,35.8232
2019-09-18,34.5453
2019-09-19,33.0453
2019-09-20,34.5001
2019-09-21,34.7659
2019-09-22,32.1476
2019-09-23,33.1987
2019-09-24,33.4477
2019-09-25,33.0387
2019-09-26,32.5281
2019-09-27,31.4547
2019-09-28,30.7350
2019-09-29,29.5595
2019-09-30,30.3931
2019-10-01,31.2110
2019-10-02,32.9025
2019-10-03,33.1461
2019-10-04,31.2737
2019-10-05,32.6786
2019-10-06,32.5052
2019-10-07,32.2752
2019-10-08,32.8146
2019-10-09,32.8449
2019-10-10,33.2397
2019-10-11,33.1571
2019-10-12,33.4843
2019-10-13,33.7397
2019-10-14,33.9064
2019-10-15,34.3136
2019-10-16,34.0458
2019-10-17,33.7154
2019-10-18,33.6225
2019-10-19,32.2394
2019-10-20,32.3842
2019-10-21,31.9996
2019-10-22,32.2502
2019-10-23,32.7544
2019-10-24,32.5161
2019-10-25,31.4260
2019-10-26,30.8927
2019-10-27,31.9063
2019-10-28,31.0845
2019-10-29,29.8350
2019-10-30,30.8823
2019-10-31,32.1272
2019-11-01,32.0581
2019-11-02,28.8265
2019-11-03,29.7630
2019-11-04,30.2095
2019-11-05,30.8865
2019-11-06,30.3376
2019-11-07,24.9876
2019-11-08,30.3072
2019-11-09,30.1756
2019-11-10,28.7777
2019-11-11,27.7771
2019-11-12,29.3985
2019-11-13,28.6266
2019-11-14,27.1612
2019-11-15,28.3205
2019-11-16,29.0141
2019-11-17,28.8520
2019-11-18,27.2367
2019-11-19,27.7462
2019-11-20,27.9467
2019-11-21,27.4194
2019-11-22,27.9388
2019-11-23,27.4486
2019-11-24,27.0205
2019-11-25,27.2587
2019-11-26,25.8021
2019-11-27,25.0650
2019-11-28,22.2208
2019-11-29,23.9202
2019-11-30,24.2275
2019-12-01,23.8360
2019-12-02,23.4733
2019-12-03,24.2217
2019-12-04,24.0484
2019-12-05,23.5025
2019-12-06,24.2527
2019-12-07,24.2633
2019-12-08,23.3785
2019-12-09,23.1281
2019-12-10,23.0223
2019-12-11,22.4552
2019-12-12,19.2955
2019-12-13,16.8287
2019-12-14,18.0650
2019-12-15,18.6856
2019-12-16,15.5491
2019-12-17,15.3531
2019-12-18,16.3531
2019-12-19,16.1902
2019-12-20,18.3332
2019-12-21,17.5834
2019-12-22,17.1635
2019-12-23,15.8128
2019-12-24,15.6923
2019-12-25,15.4937
2019-12-26,13.5862
2019-12-27,13.8387
2019-12-28,13.6729
2019-12-29,13.7293
2019-12-30,12.4272
2019-12-31,14.7918
