DateTime,28.4595 77.0266
2019-08-21,25.4760
2019-08-22,25.1117
2019-08-23,25.5739
2019-08-24,25.8348
2019-08-25,25.2225
2019-08-26,25.2767
2019-08-27,26.4555
2019-08-28,26.9903
2019-08-29,27.5068
2019-08-30,26.1734
2019-08-31,26.9908
2019-09-01,25.7407
2019-09-02,25.9646
2019-09-03,26.6214
2019-09-04,26.6904
2019-09-05,26.6521
2019-09-06,26.5618
2019-09-07,26.4007
2019-09-08,26.5218
2019-09-09,27.1432
2019-09-10,26.7399
2019-09-11,27.3468
2019-09-12,27.3555
2019-09-13,27.1518
2019-09-14,26.8255
2019-09-15,26.0838
2019-09-16,26.1075
2019-09-17,26.2448
2019-09-18,24.9962
2019-09-19,24.5362
2019-09-20,24.1902
2019-09-21,25.2739
2019-09-22,23.2813
2019-09-23,23.3991
2019-09-24,24.3006
2019-09-25,24.0347
2019-09-26,24.7994
2019-09-27,24.0955
2019-09-28,23.3816
2019-09-29,22.9218
2019-09-30,22.4797
2019-10-01,22.8230
2019-10-02,22.6199
2019-10-03,21.7410
2019-10-04,20.9762
2019-10-05,20.3200
2019-10-06,20.5393
2019-10-07,21.4140
2019-10-08,19.8721
2019-10-09,19.6379
2019-10-10,18.9146
2019-10-11,19.3180
2019-10-12,19.9449
2019-10-13,20.1636
2019-10-14,20.2303
2019-10-15,20.3775
2019-10-16,20.0905
2019-10-17,20.2224
2019-10-18,19.6420
2019-10-19,18.9839
2019-10-20,18.4352
2019-10-21,16.7549
2019-10-22,16.3528
2019-10-23,16.2840
2019-10-24,16.7763
2019-10-25,17.6319
2019-10-26,17.0555
2019-10-27,16.6255
2019-10-28,16.7371
2019-10-29,17.7922
2019-10-30,19.1303
2019-10-31,17.2391
2019-11-01,17.1645
2019-11-02,17.6706
2019-11-03,17.6619
2019-11-04,17.3637
2019-11-05,16.1336
2019-11-06,15.1315
2019-11-07,16.8357
2019-11-08,15.4293
2019-11-09,14.9695
2019-11-10,13.9239
2019-11-11,13.3782
2019-11-12,12.0055
2019-11-13,13.5032
2019-11-14,15.3636
2019-11-15,15.5758
2019-11-16,15.3463
2019-11-17,14.5637
2019-11-18,14.0497
2019-11-19,12.3852
2019-11-20,11.6376
2019-11-21,11.3547
2019-11-22,12.3771
2019-11-23,14.5733
2019-11-24,13.9130
2019-11-25,12.3926
2019-11-26,14.5146
2019-11-27,14.3148
2019-11-28,14.5840
2019-11-29,11.9556
2019-11-30,11.6763
2019-12-01,10.5992
2019-12-02,8.7002
2019-12-03,7.9551
2019-12-04,7.5058
2019-12-05,8.1730
2019-12-06,8.2256
2019-12-07,8.3089
2019-12-08,8.2246
2019-12-09,7.8468
2019-12-10,7.3280
2019-12-11,7.7600
2019-12-12,10.6485
2019-12-13,11.7550
2019-12-14,8.6680
2019-12-15,8.6612
2019-12-16,8.6722
2019-12-17,9.2181
2019-12-18,7.1626
2019-12-19,6.2165
2019-12-20,6.8508
2019-12-21,8.7520
2019-12-22,7.4365
2019-12-23,7.4056
2019-12-24,7.2118
2019-12-25,5.5880
2019-12-26,5.3525
2019-12-27,4.0321
2019-12-28,3.2042
2019-12-29,3.6156
2019-12-30,3.7601
2019-12-31,3.9774
